"Word"	"Frequency"
""	3597
"0"	108
"00"	8
"000"	412
"007"	4
"0072"	1
"009"	1
"01"	4
"0100"	1
"011"	8
"02"	7
"0200"	1
"0246"	1
"0283"	1
"03"	1
"0315"	1
"033"	1
"035"	1
"039"	1
"04"	2
"044"	1
"05"	7
"050"	1
"0577"	1
"059"	1
"06"	6
"0600"	1
"077"	1
"08"	7
"082"	1
"084"	1
"085"	1
"09"	5
"098"	1
"1"	627
"10"	293
"100"	113
"1000"	5
"101"	4
"101st"	1
"102"	3
"103"	1
"1036"	12
"103rd"	1
"104"	2
"1040"	2
"1045"	1
"105"	5
"106"	4
"10641"	1
"107"	1
"107th"	1
"108"	2
"1080p"	1
"108th"	1
"109"	2
"10th"	4
"11"	171
"110"	3
"1100"	1
"111"	2
"1111"	1
"112"	1
"112th"	1
"113"	1
"114"	3
"114th"	1
"115"	3
"116"	2
"117"	4
"118"	1
"119"	1
"11a"	2
"11million"	1
"11th"	4
"12"	136
"120"	10
"121"	1
"121st"	1
"122"	1
"123"	1
"12460"	2
"1249"	2
"125"	10
"126"	1
"127"	2
"12701"	1
"128"	1
"129"	5
"12928"	2
"12million"	1
"12th"	2
"13"	112
"130"	9
"132"	1
"133"	3
"134"	1
"134th"	1
"135"	1
"136"	4
"137"	1
"138"	1
"139"	1
"13902"	1
"13th"	8
"14"	110
"140"	9
"142"	2
"143"	1
"1431"	1
"144"	2
"1441"	1
"145"	5
"146"	1
"147"	3
"1470"	2
"148"	1
"14965"	1
"14th"	1
"15"	191
"150"	28
"1500"	1
"1506"	1
"1513"	2
"152"	1
"153"	1
"154"	2
"155"	3
"156"	1
"157"	2
"158"	1
"1589"	1
"159"	1
"15th"	7
"16"	94
"160"	6
"161"	2
"162"	1
"163"	1
"165"	3
"1668"	1
"167"	2
"168"	1
"169"	1
"16th"	3
"17"	112
"170"	3
"171"	1
"1717"	1
"172"	1
"1720"	1
"173"	2
"173rd"	2
"174"	1
"1741"	2
"175"	6
"1750"	1
"176"	2
"1776"	2
"1780"	1
"179"	1
"1798"	1
"17th"	4
"18"	140
"180"	8
"1800"	3
"1800s"	3
"1801"	1
"181"	1
"1811"	1
"1815"	4
"1816"	2
"183"	6
"1830"	1
"1830s"	1
"1833"	3
"1839"	1
"1840"	1
"1847"	1
"1848"	5
"185"	5
"1850"	1
"1850s"	1
"1852"	1
"1856"	1
"1860"	1
"1860s"	1
"1862"	4
"1865"	1
"1868"	1
"187"	1
"1871"	2
"1873"	1
"1875"	1
"1879"	1
"188"	8
"1880s"	1
"1888"	1
"1889"	3
"189"	4
"1890"	5
"1894"	2
"1897"	1
"1899"	1
"18th"	12
"19"	71
"190"	5
"1900"	2
"1900s"	1
"1901"	1
"1902"	1
"1904"	3
"1905"	3
"1906"	1
"1908"	8
"1909"	3
"191"	2
"1910"	1
"1912"	1
"1913"	1
"1915"	2
"1916"	1
"1917"	1
"1918"	3
"1919"	1
"192"	2
"1920"	2
"1920s"	1
"1922"	2
"1923"	1
"1924"	4
"1926"	1
"1927"	7
"1929"	2
"193"	1
"1930"	1
"1930s"	4
"1931"	1
"1932"	6
"1933"	7
"1934"	2
"1935"	4
"1936"	3
"1937"	2
"1938"	4
"1939"	3
"194"	1
"1940"	3
"1940s"	5
"1941"	1
"1942"	3
"1943"	3
"1944"	4
"1945"	3
"1946"	4
"1947"	4
"1948"	8
"1949"	7
"195"	1
"1950"	1
"1950s"	5
"1951"	2
"1952"	7
"1953"	1
"1954"	8
"1955"	2
"1956"	7
"1957"	1
"1958"	3
"1959"	5
"196"	1
"1960"	17
"1960s"	24
"1961"	7
"1962"	5
"1963"	10
"1964"	22
"1965"	6
"1966"	4
"1967"	15
"1968"	16
"1969"	8
"197"	3
"1970"	12
"1970s"	20
"1971"	11
"1972"	16
"1973"	7
"1974"	8
"1975"	9
"1976"	16
"1977"	11
"1978"	16
"1979"	8
"198"	2
"1980"	21
"1980s"	19
"1981"	4
"1982"	10
"1983"	28
"1984"	19
"1985"	7
"1986"	10
"1987"	14
"1988"	12
"1989"	11
"199"	4
"1990"	17
"1990s"	32
"1991"	11
"1992"	22
"1993"	18
"1994"	18
"1995"	13
"1996"	20
"1997"	9
"1998"	18
"1999"	21
"19th"	15
"1a"	1
"1b"	1
"2"	456
"20"	237
"200"	61
"2000"	75
"2000xl"	1
"2001"	38
"2002"	43
"2003"	34
"2004"	174
"2005"	63
"2006"	98
"2007"	107
"2008"	113
"2009"	38
"201"	1
"2010"	24
"2011"	2
"2012"	10
"2013"	2
"2016"	4
"202"	7
"2020"	1
"2025"	1
"2029"	1
"203"	1
"2030"	2
"2033"	1
"2036"	1
"204"	2
"205"	4
"206"	2
"208"	1
"209"	1
"20s"	7
"20th"	21
"21"	86
"210"	6
"211"	1
"212"	37
"213"	1
"214"	1
"2144"	1
"215"	3
"216"	1
"217"	1
"218"	1
"219"	1
"21st"	17
"22"	77
"220"	5
"221"	3
"222"	14
"223"	3
"2233"	1
"225"	4
"2258"	1
"226"	8
"2260"	2
"227"	1
"228"	2
"2284"	1
"229"	1
"22d"	1
"22nd"	1
"23"	82
"230"	5
"231"	1
"232"	1
"23287"	2
"233"	3
"2332"	1
"234"	1
"235"	3
"236"	1
"237"	1
"238"	2
"23d"	3
"23rd"	2
"24"	82
"240"	1
"241"	1
"243"	1
"244"	1
"2449"	1
"245"	2
"247"	3
"2480"	2
"249"	1
"24h"	1
"24th"	2
"25"	122
"250"	19
"2500"	1
